id;subject;body
101;ETA M/V Polar Bear;Statek M/V Polar Bear zbliża się do Gdyni. ETA jutro 08:00. Cel: standardowy przeładunek.
102;Update - M/V Deep Sea;Wchodzimy do Gdańska 25-06. Ładunek: kontenery. Prosimy o miejsce.
103;Tanker M/V Oil Master;Awizacja M/V Oil Master. Będziemy w porcie za 48h. Wymagane bunkrowanie.
104;M/V Shorty - pilne;Statek w drodze. ETA 12h. Brak szczegółów cargo.
105;M/V Container One - ETA;ETA jutro. Proszę o nabrzeże.
106;M/V General X - info;Statek będzie w Gdyni za 3 dni. Potrzebna obsługa ogólna.
107;M/V Heavy Lift Master;Będziemy w Gdańsku za tydzień. Ładunek ciężki.
108;M/V Fast Cargo;ETA 06:00. Proszę o nabrzeże przy terminalu kontenerowym.
109;M/V Baltic Queen - pilne;Statek na podejściu. Brak zgłoszenia cargo.
110;M/V Deep Draft;ETA 10:00. Zanurzenie 12m. Potrzebujemy głębokiego nabrzeża.